title,company,location,latitude,longitude,description,salary_min,salary_max,redirect_url,created,search_query,search_location,source,date_downloaded,job_level,min_outlier,max_outlier
Senior Data Scientist,Lorien,London,51.5074456,-0.1277653,"Senior Data Scientist: My client, an innovative Sports Analytics company in London, are seeking an exceptional Senior Data Scientist, with experience of working within a sports/betting domain. The Senior Data Scientist, must have proven expertise in sports modelling to lead projects that improve my clients current production models, whilst developing new markets for a range of different sports. The Senior Data Scientist will lead the development... ",90000.0,100000.0,https://www.reed.co.uk/jobs/senior-data-scientist/54743768,31/03/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Bayesian Data Scientist,Robert Walters,London,51.5074456,-0.1277653,"Our client is revolutionising healthcare for millions of patients worldwide. They are at the forefront of wearable technology, connecting patients and physicians with continuous, data-driven dialogue. This unique position offers daily directed guidance that redefines primary care while helping people live happier, healthier, and longer lives. They are looking for a passionate Data Scientist to develop impactful healthcare solutions using wearabl... ",80000.0,120000.0,https://www.reed.co.uk/jobs/bayesian-data-scientist/54851498,16/04/2025,data science,England,reed,2025-04-22 18:37:11,Unknown,False,True
AI Engineer,Ronald James,NG11AA,52.955007,-1.141046,"We are seeking an experienced AI Engineer who has built software products. We're looking to enhance our technology products with advanced AI solutions. In this role, you will bridge AI research and practical application, collaborating with cross-functional teams to design and deploy AI features that elevate user experiences. Key Responsibilities: AI Integration: Develop and embed AI models into our products, ensuring scalability and efficiency. ... ",75000.0,110000.0,https://www.reed.co.uk/jobs/ai-engineer/54686466,21/03/2025,data science,England,reed,2025-04-22 18:37:11,Mid-level,False,True
AI Engineer,Harnham - Data & Analytics Recruitment,Manchester,53.4794892,-2.2451148,"AI Engineer / ML Engineer - CRYPTO - REMOTE We are collaborating with a cryptocurrency analytics firm that assists clients in identifying market opportunities, conducting due diligence, and protecting portfolios. The company is expanding its strategic capabilities in AI &amp; ML. They are seeking a skilled and driven Senior AI/ML Engineer to join their team. In this position, you will design and manage AI models to process extensive blockchain d... ",130000.0,150000.0,https://www.reed.co.uk/jobs/ai-engineer/54627833,11/03/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Head of Data Science & Analytics,Harnham - Data & Analytics Recruitment,London,51.5074456,-0.1277653,"Head of Data Science &amp; Analytics Circa 125k (Dependent upon experience) Central London- Hybrid- 3 Days in the Office A strategy consultancy is looking for a Head of Data Science and Analytics to manage associate directors and lead analysts/data scientists/data engineers. THE COMPANY This company is a well-known strategy consultancy with a global presence and works across all industries (including healthcare, media, retail etc). ROLE In this ... ",120000.0,132000.0,https://www.reed.co.uk/jobs/head-of-data-science-analytics/54725888,27/03/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Head of Analytics & Data Science,Harnham - Data & Analytics Recruitment,London,51.5074456,-0.1277653,"Head of Data &amp; Analytics Strategy Consulting An established strategy consulting firm is seeking an experienced Head of Data &amp; Analytics to lead their core services team. The organisation prides itself on delivering innovative, data-driven solutions within a collaborative corporate environment. You will be leading managers who are leading teams in Analytics and Data Science. This is a permanent role based in London and is hybrid working. ... ",120000.0,125000.0,https://www.reed.co.uk/jobs/head-of-analytics-data-science/54776676,03/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Principal Data Scientist - NLP,REDTECH RECRUIT,SW100AE,51.485775,-0.180621,"Principal Data Scientist - NLP A brilliant opportunity for a Data &amp; AI specialist with strong NLP knowledge to work in an established AI Research team for a highly prestigious organisation in London, UK. Offering fantastic career progression and the chance to work on cutting-edge projects to help accelerate Machine Learning and Natural Language Processing innovation for the UK Location: London - Hybrid working available - 1 day a week minimu... ",80000.0,110000.0,https://www.reed.co.uk/jobs/principal-data-scientist-nlp/54757627,01/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,False,True
Senior Ai Engineer,167 Solutions Ltd,WC1A1AP,51.517359,-0.125413,"Senior AI Engineer - Python, AWS, NLP | 100,000 - 130,000 | Remote (UK-Based) 167 Solutions Ltd is hiring on behalf of a global organisation at the forefront of artificial intelligence innovation. We are seeking a highly skilled Senior AI Engineer with expertise in Python, AWS, Natural Language Processing (NLP), and advanced AI technologies to contribute to the development and deployment of cutting-edge AI solutions. Role Overview As a Senior AI... ",100000.0,125000.0,https://www.reed.co.uk/jobs/senior-ai-engineer/54811175,08/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
AI Strategy Lead,McGregor Boyall,EC2A2DA,51.521065,-0.080947,"AI Strategy Lead UK &amp; Europe Location: London (Hybrid, 2/3 days in the office) Salary: Up to 110,000 package Start Date: ASAP We are seeking an Innovation &amp; AI Strategy Subject Matter Expert to join a leading financial institution, playing a key role in driving AI adoption and strategic innovation across UK and European operations. This role is ideal for an experienced professional with a strong background in artificial intelligence, AI ... ",100000.0,110000.0,https://www.reed.co.uk/jobs/ai-strategy-lead/54705029,25/03/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
AI Engineer - London,Transparent Technology Ltd,London,51.5074456,-0.1277653,"Full Stack AI Engineer | AI-Powered Innovation | 70k- 100k Benefits Shares| London (Hybrid, 3 days a week) Build the Future of AI-Powered Solutions Are you a Full Stack AI Engineer looking for a role at the cutting edge of AI, Generative Models, and scalable cloud solutions ? Do you thrive in fast-paced environments where your work directly influences the next generation of AI applications? If so, this is the opportunity for you. Why Join? Devel... ",70000.0,100000.0,https://www.reed.co.uk/jobs/ai-engineer-london/54771253,02/04/2025,data science,England,reed,2025-04-22 18:37:11,Unknown,False,True
Founding AI Engineer,SR2,London,51.5074456,-0.1277653,Founding AI Engineer Up to 130k equity London (5 days on-site) Be part of the founding team at an early stage Fintech. Best suited to someone who enjoys building and shipping. Opportunity to build an AI native toolkit from scratch. I’m looking for a Founding AI Engineer to join a very early stage (Pre Seed) startup in London. This role is best suited to people who thrive working in highly ambiguous environments and are happy to pivot at the drop... ,90000.0,130000.0,https://www.reed.co.uk/jobs/founding-ai-engineer/54844497,15/04/2025,data science,England,reed,2025-04-22 18:37:11,Unknown,True,True
AI & Data Solution Consultant,Computappoint,London,51.5074456,-0.1277653,"AI &amp; Data Solution Consultant ?? Ready to Shape the Future with AI? ?? My client, one of the UK's leading and most exciting IT Solutions organisations, is seeking an AI &amp; Data Solution Consultant to lead the charge in transforming businesses through cutting-edge AI and data solutions. Salary: Up to 100k Package: 10% Bonus (discretionary) &amp; Outstanding Employee Benefits&nbsp; Job Type: Permanent Hybrid Model: Mostly remote (ad-hoc to ... ",95000.0,115000.0,https://www.reed.co.uk/jobs/ai-data-solution-consultant/54827123,11/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Data & AI Product Manager,Harnham - Data & Analytics Recruitment,London,51.5074456,-0.1277653,"DATA &amp; AI PRODUCT MANAGER UP TO 120,000 HYBRID - LONDON - 2-3X A WEEK *Please note, this company is unable to offer sponsorship at this time and you must be a UK resident* THE COMPANY Join this professional services firm to take ownership of high-value initiatives, working closely with senior stakeholders and cross-functional teams to deliver impactful solutions. THE ROLE You will act as the key point of contact for stakeholders, including t... ",100000.0,120000.0,https://www.reed.co.uk/jobs/data-ai-product-manager/54626811,11/03/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Head of Data Science - Credit Risk,Harnham - Data & Analytics Recruitment,London,51.5074456,-0.1277653,"HEAD OF DATA SCIENCE - CREDIT RISK 120,000-140,000 (dependent on experience) London - 3 days in office Great opportunity with a scaling FinTech lender in the UK. This business offer a fast-paced and driven work environment, with a really collaborative team culture that encourages employee development and growth. THE COMPANY This dynamic and fast-paced lender is seeking a driven and experienced individual to join their team to own their modelling... ",120000.0,140000.0,https://www.reed.co.uk/jobs/head-of-data-science-credit-risk/54855160,16/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Lead credit risk data scientist,Harnham - Data & Analytics Recruitment,London,51.5074456,-0.1277653,"LEAD CREDIT RISK DATA SCIENTIST LONDON UP TO 140,000 If you love building models more than managing people, and you're excited by the idea of shaping the future of motor financing-this one's for you. You will be joining as an individual contributor, owning the Data Science function! THE ROLE Build, validate, and deploy credit risk, fraud, collections models Analyse portfolio performance and monitor key risk indicators Collaborate with data engin... ",90000.0,140000.0,https://www.reed.co.uk/jobs/lead-credit-risk-data-scientist/54860037,17/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Rust Engineer - Ai,Understanding Recruitment,EC2M6XB,51.518881,-0.088221,"Rust Engineer - Ai Salary up to 125,000 ( Benefits) London based office - Hybrid Hey, Rust Engineers! Join a dynamic team solving complex problems with highly dynamic Ai enhanced data sets. We are looking for a high-performance Rust Developer to help lead our brand-new Rust project. We're looking for an Engineer with over 8 years of overall software development experience, you should have a solid understanding of database design and a passion fo... ",120000.0,125000.0,https://www.reed.co.uk/jobs/rust-engineer-ai/54771663,02/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
"Sales Executive - AI, SaaS",1PGR Services Ltd,SW1Y6BN,51.5072,-0.137387,"Sales Account Executive - AI, SaaS Sector- Technology, Artificial Intelligence, SaaS, Account Manager, Sales, AI Location- Central London with International Travel Salary &amp; Benefits - 30,000 to 40,000 Commission ( 100k achievable) Bonus Phone Laptop Travel Job Type- Sales, Account Manager, Full-time, Permanent, International Sales Account Executive International Travel Opportunities As a Sales Account Executive , you will be involved in sell... ",30000.0,100000.0,https://www.reed.co.uk/jobs/sales-executive-ai-saas/54870376,22/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,False,True
"Technical AI & Data Portfolio Manager, AI Programme Manager, Remote",Carrington Recruitment Solutions Ltd,W1A1AB,51.514584,-0.152839,"Technical AI &amp; Data Portfolio Manager, AI &amp; Data Programme Manager, Technical AI Delivery Manager, Mainly Remote Data &amp; AI Technical Portfolio Manager (TPM) required to work for a Professional Services business based in Central London. However, this is Global role that may require some Global travel (fully expensed) but most of the work can be done from the comfort of your own home. The TPM is responsible for the strategic oversight ... ",100000.0,120000.0,https://www.reed.co.uk/jobs/technical-ai-data-portfolio-manager-ai-programme-manager-remote/54646974,14/03/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Head of Data Science Credit Risk & Fraud,Harnham - Data & Analytics Recruitment,London,51.5074456,-0.1277653,"Head of Data Science (Credit Risk &amp; Fraud) Up to 140,000 London Hybrid I am currently hiring for a top consumer lending fintech based in London. They are looking to bring in a top leader in data science function to come into the business and spearhead the Fraud, Credit Risk, and Customer Analytics modelling for the business to support rapid growth. The Role: Developing new models for Credit risk decisioning/developing scorecard models using ... ",120000.0,140000.0,https://www.reed.co.uk/jobs/head-of-data-science-credit-risk-fraud/54860067,17/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Python Developer - AI Voice Technology,Understanding Recruitment,London,51.5074456,-0.1277653,"Python Developer - AI Voice Technology Base Salary: Up to 105,000 per annum share options Location: London (Hybrid - 1 day per week in office) We're seeking a highly skilled Python Developer to join our Voice team in London, working on real-time communication, speech recognition, and MLOps infrastructure. This role offers a competitive salary of up to 105,000 per annum, along with stock options, reflecting the critical nature of AI-driven voice ... ",95000.0,105000.0,https://www.reed.co.uk/jobs/python-developer-ai-voice-technology/54509614,20/02/2025,data science,England,reed,2025-04-22 18:37:11,Unknown,True,True
"Data & AI Architect, Microsoft Azure, PaaS, ETL, Data Modelling Remote",Carrington Recruitment Solutions Ltd,W1A1AB,51.514584,-0.152839,"Data &amp; AI Architect, Azure AI Services, PaaS, ETL, Data Modelling, Remote Data &amp; AI Architect / Microsoft Stack / Azure required to work for a fast growing Enterprise business based in Central London. However, this will be a remote role and you may have the odd meeting in London, along with some global travel (all expenses paid). This role will be working at the forefront of AI and we need this candidate to not only have the Data Archite... ",85000.0,95000.0,https://www.reed.co.uk/jobs/data-ai-architect-microsoft-azure-paas-etl-data-modelling-remote/54830126,11/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,False
"Data & AI Architect, Microsoft Azure, PaaS, ETL, Data Modelling Remote",Carrington Recruitment Solutions Ltd,W1A1AB,51.514584,-0.152839,"Data &amp; AI Architect, Azure AI Services, PaaS, ETL, Data Modelling, Remote Data &amp; AI Architect / Microsoft Stack / Azure required to work for a fast growing Enterprise business based in Central London. However, this will be a remote role and you may have the odd meeting in London, along with some global travel (all expenses paid). This role will be working at the forefront of AI and we need this candidate to not only have the Data Archite... ",85000.0,95000.0,https://www.reed.co.uk/jobs/data-ai-architect-microsoft-azure-paas-etl-data-modelling-remote/54795077,06/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,False
Data Engineer,Profile 29,W1S3DN,51.509916,-0.138487,"Job: Data Engineer (London W1) Salary to 95k Benefits; pension, stock options*, free in-office lunches Location; Mon-Fri onsite in London W1 offices (Piccadilly Circus) Company Having recently floated on *NASDAQ, this company is a dynamic, AI-first SaaS company known for leveraging the latest advancements in Generative AI to deliver world-class Ai commerce solutions. Recognized by industry leaders, they are in an exciting growth phase and seekin... ",85000.0,95000.0,https://www.reed.co.uk/jobs/data-engineer/54659709,17/03/2025,data science,England,reed,2025-04-22 18:37:11,Unknown,True,False
Product Manager Data & AI - 12 month FTC,Harnham - Data & Analytics Recruitment,London,51.5074456,-0.1277653,"Product Manager (Data &amp; AI) Location: London (2-3 days per week) Contract: 12-month Fixed Term Salary: 100,000 - 110,000 (up to 120,000) The Company: A leading professional services firm undergoing an ambitious 3-year Data &amp; AI transformation. They are focused on advancing their AI capabilities to enhance business efficiency and improve client outcomes. The Role: As the Technical Product Owner , you'll play a key role in driving impactfu... ",100000.0,120000.0,https://www.reed.co.uk/jobs/product-manager-data-ai-12-month-ftc/54627787,11/03/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
"Solution Architect, Data, AI, Microsoft Azure, PaaS, ETL, Remote",Carrington Recruitment Solutions Ltd,W1A1AB,51.514584,-0.152839,"Solution Architect, Azure AI Services, Data, PaaS, ETL, Data Modelling, Remote Solution Architect / AI / Data / Microsoft Stack / Azure required to work for a fast growing Enterprise business based in Central London. However, this will be a remote role and you may have the odd meeting in London, along with some global travel (all expenses paid). This role will be working at the forefront of AI and we need this candidate to not only have the Data... ",85000.0,95000.0,https://www.reed.co.uk/jobs/solution-architect-data-ai-microsoft-azure-paas-etl-remote/54834927,13/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,False
"Solution Architect, Data, AI, Microsoft Azure, PaaS, ETL, Remote",Carrington Recruitment Solutions Ltd,W1A1AB,51.514584,-0.152839,"Solution Architect, Azure AI Services, Data, PaaS, ETL, Data Modelling, Remote Solution Architect / AI / Data / Microsoft Stack / Azure required to work for a fast growing Enterprise business based in Central London. However, this will be a remote role and you may have the odd meeting in London, along with some global travel (all expenses paid). This role will be working at the forefront of AI and we need this candidate to not only have the Data... ",85000.0,95000.0,https://www.reed.co.uk/jobs/solution-architect-data-ai-microsoft-azure-paas-etl-remote/54834927,13/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,False
Senior Perception Engineer - Spatial AI,Robert Walters,London,51.5074456,-0.1277653,"Our client is at the forefront of redefining the future of construction through pioneering Augmented Reality hardware and software solutions. They are creators of the world's first engineering-grade AR headset, pushing boundaries in spatial computing, cutting-edge optics, AI, SLAM, and computer vision. Their bold goal is to eliminate construction rework entirely by building intelligent AR systems that learn and adapt to the real world automatica... ",100000.0,130000.0,https://www.reed.co.uk/jobs/senior-perception-engineer-spatial-ai/54663433,18/03/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Lead Data Engineer,Precise Placements ,EC2A4BD,51.52572,-0.084647,"Lead Data Engineer - Shape the Future of Data &amp; Analytics I am currently recruiting for an exciting Lead Data Engineer role with a leading organisation undergoing a major digital transformation . This is a fantastic opportunity to define and lead the data engineering strategy, building a scalable, insight-driven data infrastructure that leverages AI, cloud technologies, and advanced analytics to drive business success. Why Apply? High-Impact... ",90000.0,100000.0,https://www.reed.co.uk/jobs/lead-data-engineer/54549390,27/02/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Lead Data Engineer,DGH Recruitment,London,51.5074456,-0.1277653,"Lead Data Engineer As a Lead Data Engineer, you'll be instrumental in driving innovation through advanced analytics, AI, cloud technologies, and data science. You will help build a new Data &amp; Analytics function and unified data platform. Key Responsibilities: * Develop and execute a data engineering strategy that aligns with organisational goals and technological advancements. * Design and implement a scalable, reliable, and cost-efficient m... ",90000.0,100000.0,https://www.reed.co.uk/jobs/lead-data-engineer/54777563,03/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
Business Development Lead / Project Manager - AI,Harnham - Data & Analytics Recruitment,London,51.5074456,-0.1277653,"Project Manager / Business Development Lead - Urban Transport AI Contract to Perm | 400-500 Per Day | Remote (UK-based preferred) Start: Mid-Late May If you've sold to city authorities, we want to talk to you. My client is building an AI assistant to help councils manage traffic, mobility, and city infrastructure more intelligently. Backed by 1m in research funding and already piloting with major councils, we're now looking for someone to lead c... ",75000.0,100000.0,https://www.reed.co.uk/jobs/business-development-lead-project-manager-ai/54820369,10/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,False,True
"Senior AI & Data Project Manager, Programme Manager, Mainly Remote",Carrington Recruitment Solutions Ltd,EC2M4YF,51.516887,-0.07834,"Technical AI &amp; Data Senior Project Manager, AI &amp; Data Programme Manager, Technical AI Delivery Manager, AI &amp; Data Portfolio Manager, Mainly Remote Senior Project Manager, AI Programme Manager, Data &amp; AI Technical Portfolio Manager (TPM) required to work for a Professional Services business based in Central London. However, this is Global role that may require some Global travel (fully expensed) but most of the work can be done fr... ",100000.0,120000.0,https://www.reed.co.uk/jobs/senior-ai-data-project-manager-programme-manager-mainly-remote/54861839,17/04/2025,data science,England,reed,2025-04-22 18:37:11,Senior,True,True
